1308 Owen Vaughn | 20 | -5252.83 -3001.26 329.811 3.56217
1310 Evan Larson | 748 | -6143.22 124.012 421.828 3.56354
1310 Evan Larson | 748 | -6143.5 120.996 422.096 3.29886
1310 Evan Larson | 748 | -6155.48 48.8393 415.678 1.40212
1310 Evan Larson | 748 | -6149.12 63.1611 414.905 2.63049
1310 Evan Larson | 748 | -6122.89 82.4512 417.053 5.00003
40 Kobold Miner | 26 | -4808.31 -2951.04 323.708 5.0526
40 Kobold Miner | 26 | -4789.19 -2961.51 322.296 5.88041
40 Kobold Miner | 26 | -4781.59 -2971.64 322.237 1.24656
40 Kobold Miner | 26 | -4765.83 -2964.69 319.449 3.32708
40 Kobold Miner | 26 | -4877.31 -2972.25 317.488 5.71312
40 Kobold Miner | 26 | -4871.67 -2975.88 317.657 2.52676
40 Kobold Miner | 26 | -4876.94 -2976.92 317.249 1.10676
40 Kobold Miner | 26 | -4810.99 -2975.96 321.39 2.07359
40 Kobold Miner | 26 | -4816.41 -2960.4 321.874 0.0810302
40 Kobold Miner | 26 | -4898.33 -2982.72 318.081 1.55915
40 Kobold Miner | 26 | -4901.54 -2983.08 318.26 0.321363
40 Kobold Miner | 26 | -4915.8 -2962.21 316.279 1.6534
40 Kobold Miner | 26 | -4918.24 -2958.72 316.446 6.24955
40 Kobold Miner | 26 | -4916.45 -2958.05 316.228 5.07145
40 Kobold Miner | 26 | -4945.13 -2970.72 321.314 0.933974
40 Kobold Miner | 26 | -4920.52 -2992.16 319.896 5.94639
40 Kobold Miner | 26 | -4914.86 -2994.72 318.934 2.75924
40 Kobold Miner | 26 | -4917.2 -2996.6 319.572 1.73822
40 Kobold Miner | 26 | -4898.29 -2979.73 317.807 5.76574
1309 Wynne Larson | 26 | -4942.32 -2999.68 320.09 2.41131
1309 Wynne Larson | 26 | -4942.91 -2994.27 319.972 4.40936
40 Kobold Miner | 26 | -4945.15 -2966.38 321.741 5.65971
40 Kobold Miner | 26 | -4939.8 -2970.27 321.597 2.76395
1309 Wynne Larson | 26 | -4981.76 -2942.52 316.088 4.07635
916 Solm Hargrin | 3407 | -6093.75 404.918 395.62 4.5204
824 Defias Digger | 556 | -11177.9 1564.25 22.6546 3.14159
590 Defias Looter | 2340 | -11098.3 1587.81 46.0733 1.68284
589 Defias Pillager | 2338 | -10935.2 1418.14 43.6648 0.258843
5855 Magma Elemental | 2075 | -7052.52 -1006.2 239.401 6.17838
2442 Cow | 1060 | -9594.7 -619.864 56.651 3.73271
2955 Plainstrider | 1219 | -3050.64 -613.403 27.3456 0.72242
2958 Prairie Wolf | 643 | -1982.1 5.96783 1.92919 6.24337
590 Defias Looter | 2341 | -9850.39 1386.06 38.5724 6.28078
1109 Fleshripper | 410 | -10575.7 1516.73 50.5347 -2.13537
890 Fawn | 654 | -9180.99 411.326 88.1684 4.17849
822 Young Forest Bear | 640 | -9838.89 1.80864 26.4362 2.75785
1727 Defias Worker | 2528 | -11218 1640.98 27.3861 2.68781
38 Defias Thug | 5036 | -9070.39 -332.808 73.3594 1.80776
524 Rockhide Boar | 389 | -9680.9 -420.928 54.0555 0.867498
68 Stormwind City Guard | 5446 | -8684.41 575.301 97.0541 3.80482
1197 Stonesplinter Shaman | 764 | -6210.13 -2924.73 401.972 0.304188
501 Riverpaw Herbalist | 413 | -11077.3 1885.33 35.3095 6.03773
117 Riverpaw Gnoll | 174 | -9850.7 1551.85 47.3852 5.95527
30 Forest Spider | 366 | -9610.66 18.4254 61.7463 1.13246
116 Defias Bandit | 2357 | -9304.17 470.833 78.6429 3.71082
1949 Servant of Azora | 5018 | -9554.48 -687.146 62.683 3.65273
589 Defias Pillager | 2339 | -9848.07 1277.25 41.928 5.44185
113 Stonetusk Boar | 377 | -9785.73 451.244 37.2017 1.21538
416 Imp | 4449 | -6121.39 -2988.07 400.187 2.51961
454 Young Goretusk | 503 | -9873.73 1072.69 32.6874 0.903475
